"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Dias","Data","Dispersas","PontoSemente"
"1",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C10","P","N",12.4,0,0,0,"S",2,2017-05-05,FALSE,"AFV10a C10"
"2",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C3","P","N",12.4,0,0,0,"S",2,2017-05-05,FALSE,"AFV10a C3"
"3",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C8","D","N",1.1,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C8"
"4",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C7","D","S",6.8,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C7"
"5",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C1","D","N",25.8,0,0,0,"S",2,2017-05-05,TRUE,"AFV08 C1"
"6",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C9","D","N",1.2,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C9"
"7",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C6","P","N",12.4,0,0,0,"S",2,2017-05-05,FALSE,"AFV10a C6"
"8",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C9","P","N",12.4,0,0,0,"S",2,2017-05-05,FALSE,"AFV10a C9"
"9",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C1","D","S",10.5,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C1"
"10",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C3","N","S",6.3,0,0,0,"S",2,2017-05-05,FALSE,"AFV12 C3"
"11",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C10","D","N",15.7,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C10"
"12",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C2","D","N",3.7,0,0,0,"S",2,2017-05-05,TRUE,"AFV12 C2"
"13",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C1","D","S",8.1,0,0,0,"S",5,2017-05-07,TRUE,"AFV17a C1"
"14",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C5","D","N",8,0,0,0,"S",5,2017-05-07,TRUE,"AFV12 C5"
"15",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C4","D","S",10.7,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C4"
"16",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C8","D","S",10.7,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C8"
"17",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C9","D","N",1.2,0,0,0,"S",5,2017-05-07,TRUE,"AFV07 C9"
"18",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C6","D","S",47.4,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C6"
"19",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C9","D","S",1.1,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C9"
"20",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C7","D","S",8.7,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C7"
"21",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C1","D","N",19.1,0,0,0,"S",5,2017-05-07,TRUE,"AFV13 C1"
"22",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C10","N","N",5.9,0,0,0,"S",5,2017-05-07,FALSE,"AFV07 C10"
"24",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C2","D","S",30.3,0,0,0,"S",5,2017-05-07,TRUE,"AFV13 C2"
"25",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C5","P","N",7.2,0,0,0,"S",5,2017-05-07,FALSE,"AFV10a C5"
"26",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C5","D","N",32.5,0,0,0,"S",5,2017-05-07,TRUE,"AFV13 C5"
"27",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C5","D","S",18,0,0,0,"S",5,2017-05-07,TRUE,"AFV07 C5"
"28",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C3","D","N",34.8,0,0,0,"S",5,2017-05-07,TRUE,"AFV07 C3"
"29",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C2","D","S",23.6,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C2"
"30",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C1","D","S",17,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C1"
"31",0,0,0,0,0,0,"AFV19","Cascatinha","C3","N","N",0,0,0,0,"S",5,2017-05-07,FALSE,"AFV19 C3"
"32",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C10","D","S",0.9,0,0,0,"S",5,2017-05-07,TRUE,"AFV11 C10"
"35",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C6","D","N",7.9,0,0,0,"S",11,2017-05-11,TRUE,"AFV12 C6"
"36",40,38,35,3.71357206670431,3.66356164612965,3.58351893845611,"AFV12","Anathema","C4","D","S",4,0,0,0,"S",11,2017-05-11,TRUE,"AFV12 C4"
"37",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C7","P","N",14.3,0,0,0,"S",11,2017-05-11,FALSE,"AFV05b C7"
"38",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C4","D","N",3.2,0,0,0,"S",11,2017-05-11,TRUE,"AFV06 C4"
"39",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C3","P","N",25.2,0,0,0,"S",11,2017-05-11,FALSE,"AFV08 C3"
"40",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C1","D","N",0.9,0,0,0,"S",11,2017-05-11,TRUE,"AFV07 C1"
"41",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C7","P","N",11.2,0,0,0,"S",11,2017-05-11,FALSE,"AFV08 C7"
"43",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C2","D","N",1.1,0,0,0,"S",11,2017-05-11,TRUE,"AFV07 C2"
"46",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C4","D","N",2.7,0,0,0,"S",11,2017-05-11,TRUE,"AFV07 C4"
"50",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C6","D","N",19.1,0,0,0,"S",11,2017-05-11,TRUE,"AFV20 C6"
"51",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C9","P","N",12.5,0,0,0,"S",49,2017-05-18,FALSE,"AFV05b C9"
"52",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C6","P","N",12.6,0,0,0,"S",49,2017-05-18,FALSE,"AFV05b C6"
"53",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C1","D","N",3.2,0,0,0,"S",49,2017-05-18,TRUE,"AFV06 C1"
"54",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C5","P","N",12.5,0,0,0,"S",49,2017-05-18,FALSE,"AFV05b C5"
"55",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C10","P","N",14.6,0,0,0,"S",49,2017-05-18,FALSE,"AFV05b C10"
"56",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C1","P","N",12.5,0,0,0,"S",49,2017-05-18,FALSE,"AFV05b C1"
"57",69,62,55,4.24849524204936,4.14313472639153,4.02535169073515,"AFV13","Centro de Visitantes","C7","D","S",24.7,0,0,0,"S",49,2017-05-18,TRUE,"AFV13 C7"
"58",37,34,32,3.63758615972639,3.55534806148941,3.49650756146648,"AFV14","Capela","C1","D","S",29.6,0,0,0,"S",49,2017-05-18,TRUE,"AFV14 C1"
"59",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C2","D","S",57.4,0,0,0,"S",49,2017-05-18,TRUE,"AFV08 C2"
"60",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C10","P","N",5.9,0,0,0,"S",49,2017-05-18,FALSE,"AFV08 C10"
"61",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C6","P","N",5.9,0,0,0,"S",49,2017-05-18,FALSE,"AFV08 C6"
"62",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C2","D","S",9,3.5,0,0,"S",49,2017-05-18,TRUE,"AFV17a C2"
"63",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C9","D","N",6.1,0,0,0,"S",49,2017-05-18,TRUE,"AFV08 C9"
"64",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C6","D","S",35.7,0,0,0,"S",49,2017-05-18,TRUE,"AFV06 C6"
"65",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C9","D","N",18,0,0,0,"S",49,2017-05-18,TRUE,"AFV20 C9"
"66",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C9","D","N",24.7,0,0,0,"S",49,2017-05-18,TRUE,"AFV09 C9"
"69",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C4","D","N",13.5,0,0,0,"S",49,2017-05-18,TRUE,"AFV20 C4"
"70",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C7","D","N",25.8,0,0,0,"S",49,2017-05-18,TRUE,"AFV20 C7"
"73",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C8","D","N",21.3,0,0,0,"S",49,2017-05-18,TRUE,"AFV20 C8"
"75",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C5","D","S",12.9,0,0,0,"S",63,2017-05-25,TRUE,"AFV04 C5"
"76",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C3","D","N",3.4,0,0,0,"S",63,2017-05-25,TRUE,"AFV03 C3"
"77",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C4","D","N",64.1,0,0,0,"S",63,2017-05-25,TRUE,"AFV03 C4"
"78",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C9","D","S",43.7,36,0,0,"S",63,2017-05-25,TRUE,"AFV03 C9"
"79",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C1","D","S",3.7,0,0,0,"S",63,2017-05-25,TRUE,"AFV15 C1"
"80",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C1","P","N",10.1,0,0,0,"S",63,2017-05-25,FALSE,"AFV09 C1"
"81",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C10","P","N",18.3,0,0,0,"S",63,2017-05-25,FALSE,"AFV15 C10"
"82",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C2","P","N",10.6,0,0,0,"S",63,2017-05-25,FALSE,"AFV15 C2"
"83",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C2","D","S",11.5,0,0,0,"S",63,2017-05-25,TRUE,"AFV09 C2"
"84",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C3","D","S",7.3,0,0,0,"S",63,2017-05-25,TRUE,"AFV15 C3"
"85",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C3","P","N",7.2,0,0,0,"S",63,2017-05-25,FALSE,"AFV09 C3"
"86",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C5","P","N",23.9,0,0,0,"S",63,2017-05-25,FALSE,"AFV09 C5"
"87",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C6","D","S",18.1,0,0,0,"S",63,2017-05-25,TRUE,"AFV15 C6"
"88",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C8","P","N",6.2,0,0,0,"S",63,2017-05-25,FALSE,"AFV15 C8"
"89",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C7","P","N",2.8,0,0,0,"S",63,2017-05-25,FALSE,"AFV15 C7"
"90",15,13,12,2.77258872223978,2.63905732961526,2.56494935746154,"AFV15","Cova da onca","C9","P","N",32.3,0,0,0,"S",63,2017-05-25,FALSE,"AFV15 C9"
"96",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C8","D","N",2.3,0,0,0,"S",1,2017-06-01,TRUE,"AFV04 C8"
"97",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C2","D","N",2.8,0,0,0,"S",1,2017-06-01,TRUE,"AFV06 C2"
"99",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C10","P","N",12.4,0,0,0,"S",1,2017-06-01,FALSE,"AFV04 C10"
"100",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C2","P","N",12.4,0,0,0,"S",1,2017-06-01,FALSE,"AFV04 C2"
"102",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C3","P","N",10.1,0,0,0,"S",1,2017-06-01,FALSE,"AFV04 C3"
"115",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C8","P","N",9,0,0,0,"S",35,2017-06-15,FALSE,"AFV08 C8"
"116",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C3","P","N",7.9,0,0,0,"S",35,2017-06-15,FALSE,"AFV06 C3"
"118",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C5","P","N",19.1,0,0,0,"S",35,2017-06-15,FALSE,"AFV06 C5"
"120",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C8","P","N",6.8,0,0,0,"S",35,2017-06-15,FALSE,"AFV06 C8"
"121",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C7","P","N",6.8,0,0,0,"S",35,2017-06-15,FALSE,"AFV06 C7"
"123",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C9","P","N",6.8,0,0,0,"S",35,2017-06-15,FALSE,"AFV06 C9"
"125",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C4","D","S",17.2,0,0,0,"S",89,2017-06-29,TRUE,"AFV17a C4"
"126",14,12,11,2.70805020110221,2.56494935746154,2.484906649788,"AFV17a","Casas","C6","D","S",18.1,0,0,0,"S",89,2017-06-29,TRUE,"AFV17a C6"
"128",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C2","P","N",11.2,0,0,0,"S",89,2017-06-29,FALSE,"AFV20 C2"
"131",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C5","D","N",25.8,0,0,0,"S",19,2017-07-13,TRUE,"AFV01 C5"
"134",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV05b C2"
"135",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C4"
"136",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C6"
"137",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV05b C4"
"138",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C3"
"139",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C9"
"140",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV05b C3"
"141",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C2"
"142",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C10"
"143",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C7"
"144",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C4"
"145",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C6"
"146",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C5"
"147",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C9"
"148",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C8"
"150",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C7"
"151",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C10","N","N",6.8,0,0,0,"N",35,2017-08-15,FALSE,"AFV06 C10"
"153",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C1"
"154",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C5"
"155",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C1"
"156",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C8"
"157",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C9"
"158",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C1"
"159",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C8","P","N",0,0,0,0,"S",35,2017-08-15,FALSE,"AFV07 C8"
"160",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C2"
"161",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C1"
"162",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C10"
"163",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C3"
"164",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C10"
"165",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C6"
"167",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C4"
"168",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C2"
"169",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C7"
"170",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C5"
"171",0,0,0,0,0,0,"AFV19","Cascatinha","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C1"
"172",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C8"
"173",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C8"
"174",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C6"
"175",0,0,0,0,0,0,"AFV19","Cascatinha","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C10"
"176",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C7"
"177",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV07 C6"
"178",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C7"
"179",0,0,0,0,0,0,"AFV19","Cascatinha","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C2"
"180",0,0,0,0,0,0,"AFV19","Cascatinha","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C6"
"181",0,0,0,0,0,0,"AFV19","Cascatinha","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C5"
"182",0,0,0,0,0,0,"AFV19","Cascatinha","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C4"
"183",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C9"
"185",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C10"
"186",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C1"
"187",0,0,0,0,0,0,"AFV19","Cascatinha","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C8"
"188",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV20 C5"
"189",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C2"
"190",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C6"
"192",0,0,0,0,0,0,"AFV19","Cascatinha","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C9"
"193",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C4"
"194",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C3"
"195",0,0,0,0,0,0,"AFV19","Cascatinha","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C7"
"196",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV11 C3"
